"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","visib","number_of_accidents"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,10,0.0596330275229358
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,10,0.286697247706422
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,0.444954128440367
"4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,10,0.344036697247706
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.0779816513761468
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,9.8,0.0871559633027523
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,8.8,0.380733944954128
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,9.8,0.362385321100917
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,6.8,0.302752293577982
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,9.9,0.458715596330275
"11",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,10,0.69954128440367
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,7.1,0.275229357798165
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,4.3,0.0412844036697248
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,1.3,0.428899082568807
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,9.5,0.369266055045872
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,7,0.511467889908257
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,8.6,0.311926605504587
"18",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,7.5,0.472477064220183
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,9.2,0.295871559633028
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,7,0.0871559633027523
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,9.2,0
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,6.5,0.43348623853211
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,10,0.435779816513761
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,0.456422018348624
"25",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,10,0.731651376146789
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,8.6,0.465596330275229
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,10,0.169724770642202
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,8.8,0.348623853211009
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,2.6,0.428899082568807
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,4.4,0.325688073394495
"31",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,5.9,0.543577981651376
"32",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,10,0.502293577981651
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,10,0.410550458715596
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,8.2,0.206422018348624
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,8.8,0.454128440366972
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,7.8,0.48394495412844
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,9,0.48394495412844
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,0.392201834862385
"39",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,7.3,0.798165137614679
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,1.2,0.110091743119266
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,8.9,0.103211009174312
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,7.6,0.275229357798165
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,6.5,0.327981651376147
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,10,0.493119266055046
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,8.4,0.63302752293578
"46",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,9.8,0.571100917431193
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,9.2,0.215596330275229
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,4.2,0.211009174311927
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,9.3,0.0986238532110092
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,10,0.279816513761468
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,8.5,0.355504587155963
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,0.327981651376147
"53",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,9.8,0.403669724770642
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,9.7,0.380733944954128
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,4.3,0.162844036697248
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,8.3,0.309633027522936
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,10,0.41743119266055
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,5.9,0.447247706422018
"59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,7.2,0.371559633027523
