"","dayofweek","visib","num_accidents"
"1",4,10,0.0596330275229358
"2",5,10,0.286697247706422
"3",6,10,0.444954128440367
"4",7,10,0.344036697247706
"5",1,10,0.0779816513761468
"6",2,9.8,0.0871559633027523
"7",3,8.8,0.380733944954128
"8",4,9.8,0.362385321100917
"9",5,6.8,0.302752293577982
"10",6,9.9,0.458715596330275
"11",7,10,0.69954128440367
"12",1,7.1,0.275229357798165
"13",2,4.3,0.0412844036697248
"14",3,1.3,0.428899082568807
"15",4,9.5,0.369266055045872
"16",5,7,0.511467889908257
"17",6,8.6,0.311926605504587
"18",7,7.5,0.472477064220183
"19",1,9.2,0.295871559633028
"20",2,7,0.0871559633027523
"21",3,9.2,0
"22",4,6.5,0.43348623853211
"23",5,10,0.435779816513761
"24",6,10,0.456422018348624
"25",7,10,0.731651376146789
"26",1,8.6,0.465596330275229
"27",2,10,0.169724770642202
"28",3,8.8,0.348623853211009
"29",4,2.6,0.428899082568807
"30",5,4.4,0.325688073394495
"31",6,5.9,0.543577981651376
"32",7,10,0.502293577981651
"33",1,10,0.410550458715596
"34",2,8.2,0.206422018348624
"35",3,8.8,0.454128440366972
"36",4,7.8,0.48394495412844
"37",5,9,0.48394495412844
"38",6,10,0.392201834862385
"39",7,7.3,0.798165137614679
"40",1,1.2,0.110091743119266
"41",2,8.9,0.103211009174312
"42",3,7.6,0.275229357798165
"43",4,6.5,0.327981651376147
"44",5,10,0.493119266055046
"45",6,8.4,0.63302752293578
"46",7,9.8,0.571100917431193
"47",1,9.2,0.215596330275229
"48",2,4.2,0.211009174311927
"49",3,9.3,0.0986238532110092
"50",4,10,0.279816513761468
"51",5,8.5,0.355504587155963
"52",6,10,0.327981651376147
"53",7,9.8,0.403669724770642
"54",1,9.7,0.380733944954128
"55",2,4.3,0.162844036697248
"56",3,8.3,0.309633027522936
"57",4,10,0.41743119266055
"58",5,5.9,0.447247706422018
"59",6,7.2,0.371559633027523
"60",7,9.4,0.568807339449541
"61",1,10,0.272935779816514
"62",2,10,0.337155963302752
"63",3,10,0.555045871559633
"64",4,9.9,0.394495412844037
"65",5,9.4,0.275229357798165
"66",6,4.1,0.412844036697248
"68",1,9.9,0.490825688073394
"69",2,10,0.137614678899083
"70",3,10,0.38302752293578
"71",4,7.5,0.440366972477064
"72",5,7.1,0.644495412844037
"73",6,9.7,0.463302752293578
"74",7,10,0.577981651376147
"75",1,10,0.380733944954128
"76",2,9.9,0.162844036697248
"77",3,10,0.614678899082569
"78",4,4.6,0.467889908256881
"79",5,10,0.424311926605505
"80",6,9.8,0.350917431192661
"81",7,6.8,0.571100917431193
"82",1,10,0.305045871559633
"83",2,10,0.220183486238532
"84",3,10,0.327981651376147
"85",4,9.7,0.160550458715596
"86",5,10,0.197247706422018
"87",6,9.9,0.444954128440367
"88",7,10,0.378440366972477
"89",1,10,0.362385321100917
"90",2,10,0.162844036697248
"91",3,6.8,0.284403669724771
"92",4,9.9,0.188073394495413
"93",5,10,0.405963302752294
"94",6,10,0.48394495412844
"95",7,8.7,0.520642201834862
"96",1,10,0.403669724770642
"97",2,10,0.220183486238532
"98",3,9.1,0.520642201834862
"99",4,6.7,0.591743119266055
"100",5,7.6,0.51605504587156
"101",6,6.6,0.371559633027523
"102",7,7.7,0.674311926605505
"103",1,8.2,0.458715596330275
"104",2,9.6,0.268348623853211
"105",3,10,0.568807339449541
"106",4,10,0.479357798165138
"107",5,8.3,0.412844036697248
"108",6,10,0.454128440366972
"109",7,4.6,0.493119266055046
"110",1,3.6,0.405963302752294
"111",2,10,0.26605504587156
"112",3,10,0.481651376146789
"113",4,5.1,0.362385321100917
"114",5,7,0.557339449541284
"115",6,7.2,0.522935779816514
"116",7,9.5,0.73394495412844
"117",1,8.6,0.371559633027523
"118",2,9.8,0.194954128440367
"119",3,9.9,0.557339449541284
"120",4,10,0.506880733944954
"121",5,7.4,0.506880733944954
"122",6,9.5,0.527522935779816
"123",7,9.9,0.759174311926605
"124",1,10,0.51605504587156
"125",2,9.7,0.36697247706422
"126",3,5.1,0.472477064220183
"127",4,4.4,0.543577981651376
"128",5,7.5,0.607798165137615
"129",6,5,0.56651376146789
"130",7,5.7,0.786697247706422
"131",1,3.7,0.385321100917431
"132",2,3.3,0.394495412844037
"133",3,9.9,0.509174311926605
"134",4,9.8,0.481651376146789
"135",5,10,0.405963302752294
"136",6,7.1,0.467889908256881
"137",7,9.9,0.885321100917431
"138",1,10,0.346330275229358
"139",2,9.3,0.43348623853211
"140",3,2.9,0.692660550458716
"141",4,0.3,0.784403669724771
"142",5,2.5,0.493119266055046
"143",6,3,0.871559633027523
"144",7,2.1,0.717889908256881
"145",1,4.6,0.364678899082569
"146",2,9.3,0.229357798165138
"147",3,10,0.149082568807339
"148",4,9.9,0.759174311926605
"149",5,4.9,0.502293577981651
"150",6,6.1,0.756880733944954
"151",7,6.7,0.873853211009174
"152",1,7,0.63302752293578
"153",2,4.6,0.302752293577982
"154",3,2,0.807339449541284
